       1         297.86640419          95.00349931        -164.98691845         -69.98341914
     100         356.98725681         113.85989870 -4786321629673.51367188 -4786321629559.65332031
     200         316.50376023         100.94782206 -4803757290609.70410156 -4803757290508.75585938
     300         337.41451906         107.61723907 -4777842442586.49609375 -4777842442478.87890625
     400         314.99068776         100.46523263 -4775562281151.12890625 -4775562281050.66406250
     500         355.69849658         113.44885291 -4837935222820.87304688 -4837935222707.42382812
     600         341.56272239         108.94029473 -4784832158844.35546875 -4784832158735.41503906
     700         353.70922912         112.81438267 -4833349650991.41210938 -4833349650878.59765625
     800         285.96199071          91.20662621 -4863291357156.18066406 -4863291357064.97363281
     900         324.80501976         103.59548119 -4888105923219.70507812 -4888105923116.10937500
    1000         342.12582354         109.11989397 -4826067493982.52539062 -4826067493873.40527344
    1100         324.00270966         103.33958705 -4853223338319.68457031 -4853223338216.34472656
    1200         335.84999169         107.11823827 -4811847242447.61132812 -4811847242340.49316406
    1300         355.21464427         113.29452983 -4816002241602.64160156 -4816002241489.34667969
    1400         346.82162988         110.61760579 -4765329633265.77343750 -4765329633155.15625000
    1500         337.34298609         107.59442386 -4723740208569.18847656 -4723740208461.59375000
    1600         321.25043893         102.46175945 -4695991414049.32031250 -4695991413946.85839844
    1700         305.67118063          97.49280681 -4769049760414.52929688 -4769049760317.03613281
    1800         330.53513591         105.42308268 -4834894128561.77832031 -4834894128456.35546875
    1900         285.78061834          91.14877810 -4752200413617.30957031 -4752200413526.16113281
    2000         364.11216614         116.13236484 -4814830239296.71679688 -4814830239180.58398438
    2100         324.40899222         103.46916952 -4800844024760.38183594 -4800844024656.91308594
    2200         338.74538551         108.04171450 -4862216485243.65722656 -4862216485135.61523438
    2300         341.28893172         108.85297010 -4803724363006.14355469 -4803724362897.29101562
    2400         337.12849182         107.52601163 -4783685199054.85156250 -4783685198947.32519531
    2500         344.39063461         109.84224793 -4774107828055.22363281 -4774107827945.38183594
    2600         372.61125018         118.84311944 -4786444353668.95507812 -4786444353550.11230469
    2700         341.01643866         108.76605935 -4798896496084.07714844 -4798896495975.31152344
    2800         324.41904996         103.47237740 -4814358974890.74902344 -4814358974787.27636719
    2900         311.76125471          99.43521569 -4787893246769.68945312 -4787893246670.25390625
    3000         341.68688788         108.97989690 -4845879834614.34082031 -4845879834505.36132812
    3100         332.59289963         106.07939958 -4777010611818.20117188 -4777010611712.12207031
    3200         304.12153990          96.99855405 -4848646427432.58496094 -4848646427335.58593750
    3300         322.20048157         102.76477239 -4797829049302.46582031 -4797829049199.70117188
    3400         362.54303980         115.63189722 -4870407466837.70410156 -4870407466722.07226562
    3500         338.38772949         107.92764130 -4830161252915.94433594 -4830161252808.01660156
    3600         333.23485177         106.28414808 -4815823602236.79980469 -4815823602130.51562500
    3700         317.20914567         101.17280240 -4834563466217.92871094 -4834563466116.75585938
    3800         339.66919182         108.33635945 -4780510059478.24902344 -4780510059369.91308594
    3900         320.66246791         102.27422805 -4902421308497.47460938 -4902421308395.20019531
    4000         335.11679230         106.88438676 -4783385960632.57519531 -4783385960525.69042969
    4100         308.08681393          98.26326502 -4824169549215.14257812 -4824169549116.87890625
    4200         358.30896423         114.28145289 -4829258454828.67871094 -4829258454714.39746094
    4300         327.47853692         104.44819060 -4763030114176.52148438 -4763030114072.07324219
    4400         361.69473669         115.36133376 -4799143979440.36621094 -4799143979325.00488281
    4500         320.53472081         102.23348354 -4820088104271.04101562 -4820088104168.80761719
    4600         350.46025548         111.77813333 -4881772095657.85644531 -4881772095546.07812500
    4700         300.07372361          95.70751650 -4807664108578.26757812 -4807664108482.56054688
    4800         335.57602407         107.03085721 -4915429756629.41601562 -4915429756522.38476562
    4900         342.72562214         109.31119774 -4821039092774.36523438 -4821039092665.05371094
    5000         330.59125195         105.44098071 -4797973883850.78417969 -4797973883745.34277344
    5100         367.88831294         117.33675431 -4869130301342.85546875 -4869130301225.51855469
    5200         326.07369525         104.00012102 -4826166416459.32128906 -4826166416355.32128906
    5300         333.39268393         106.33448813 -4808879884103.14062500 -4808879883996.80566406
    5400         317.68741196         101.32534385 -4871372324749.35351562 -4871372324648.02832031
    5500         347.28370801         110.76498407 -4880766557837.14453125 -4880766557726.37988281
    5600         295.74200223          94.32592837 -4834192882763.89062500 -4834192882669.56445312
    5700         301.18834050          96.06301986 -4767899313174.65332031 -4767899313078.58984375
    5800         330.10397486         105.28556530 -4835432477855.05468750 -4835432477749.76953125
    5900         308.21888738          98.30538941 -4837379126954.90136719 -4837379126856.59570312
    6000         359.65722128         114.71147499 -4806407657161.45019531 -4806407657046.73828125
    6100         335.86742421         107.12379831 -4777730869864.47753906 -4777730869757.35351562
    6200         324.87738951         103.61856328 -4797279104949.19628906 -4797279104845.57812500
    6300         328.80464510         104.87114839 -4775911591229.82128906 -4775911591124.95019531
    6400         306.74063007          97.83390415 -4828742948071.73144531 -4828742947973.89746094
    6500         324.89648404         103.62465342 -4880359343249.27734375 -4880359343145.65234375
    6600         346.29396180         110.44930781 -4809265736016.66699219 -4809265735906.21777344
    6700         335.29838912         106.94230646 -4796283523106.70214844 -4796283522999.75976562
    6800         322.05443026         102.71818981 -4801781049443.18066406 -4801781049340.46289062
    6900         315.49951623         100.62752178 -4817451523108.79101562 -4817451523008.16308594
    7000         349.84050686         111.58046656 -4804079008826.01464844 -4804079008714.43457031
    7100         346.91865098         110.64855035 -4778872113129.20507812 -4778872113018.55664062
    7200         330.14100491         105.29737591 -4674171372613.55468750 -4674171372508.25683594
    7300         290.60675382          92.68805797 -4716738804323.79296875 -4716738804231.10449219
    7400         325.16746917         103.71108322 -4745558311649.30468750 -4745558311545.59375000
    7500         310.31563488          98.97414005 -4903512152429.10839844 -4903512152330.13378906
    7600         346.24420462         110.43343792 -4819311381115.32226562 -4819311381004.88867188
    7700         303.38270702          96.76290576 -4781878045856.29199219 -4781878045759.52929688
    7800         336.29598493         107.26048633 -4851757347861.84082031 -4851757347754.58007812
    7900         321.94750282         102.68408566 -4815912412416.68847656 -4815912412314.00390625
    8000         316.46584387         100.93572876 -4803112381786.46386719 -4803112381685.52832031
    8100         305.54852037          97.45368473 -4774922739126.89550781 -4774922739029.44140625
    8200         324.39982612         103.46624603 -4765404611158.92675781 -4765404611055.46093750
    8300         362.82564370         115.72203279 -4750926662546.12695312 -4750926662430.40527344
    8400         358.48439429         114.33740572 -4809864575150.01464844 -4809864575035.67675781
    8500         343.34001660         109.50715681 -4756621847543.89257812 -4756621847434.38574219
    8600         336.90300779         107.45409425 -4768545129703.24804688 -4768545129595.79394531
    8700         319.67145034         101.95814629 -4905455443087.68652344 -4905455442985.72851562
    8800         338.94509950         108.10541261 -4854359215280.22851562 -4854359215172.12304688
    8900         330.46168789         105.39965668 -4872641708073.49218750 -4872641707968.09277344
    9000         321.21709966         102.45112600 -4811693707624.86914062 -4811693707522.41796875
    9100         335.36513285         106.96359415 -4852483845437.23535156 -4852483845330.27148438
    9200         326.63592281         104.17944163 -4826043779343.13281250 -4826043779238.95312500
    9300         324.98327278         103.65233440 -4786799826862.19140625 -4786799826758.53906250
    9400         344.33141607         109.82336037 -4835130011694.50488281 -4835130011584.68164062
    9500         360.92287013         115.11514949 -4912919844292.69726562 -4912919844177.58203125
    9600         340.43516319         108.58066347 -4855193993355.41503906 -4855193993246.83398438
    9700         336.57863509         107.35063666 -4858571677769.79199219 -4858571677662.44140625
    9800         342.12895024         109.12089122 -4778747352457.24316406 -4778747352348.12207031
    9900         340.75158120         108.68158394 -4835661644277.04003906 -4835661644168.35839844
   10000         328.67823149         104.83082919 -4871627182553.30175781 -4871627182448.47070312
